BrawlerPower               = نقاط القوة
obt_bonus                  = المكافأة:
brawlers                   = Brawlers
ads_get                    = احصل على
gems                       = الجواهر
coins                      = عملات معدنية
new_brawler                = New Brawler
obtained                   = تم الاستلام
remaing_items              = العناصر المتبقية:
not_enough_coins_message   = ليس لديك عملات معدنية كافية \n هل تريد الحصول عليها الآن؟
not_enough_gems_message    = ليس لديك ما يكفي من الجواهر \n هل تريد الحصول عليها الآن
tickets                    = تذاكر
of                         = Of
settings                   = إعدادات
inventory                  = Brawlers
box_open                   = فتح
level                      = مستواك
IF_ads                     = جرب Infinity Flyer
ED_ads                     = جرب Escape Danny
EnterYourNickname          = أدخل لقبك
NicknameWarn               = يجب أن يكون Nick أكبر من حرفين
Statistics                 = إحصائيات
Open_Total                 = إجمالي الصناديق المفتوحة
Open_Free                  = فتح الصناديق المجانية
Open_Big                   = فتح الصناديق الكبيرة
Open_Mega                  = فتح الصناديق الضخمة
Open_Epic                  = فتح الصناديق الفائقة
NickChange                 = Cambiar Apodo
