BrawlerPower                                                            		= Power points
obt_bonus                                                                   		= Bonus
brawlers                                                             		= brawlers
ads_get                                                              		= Get
gems                                                                    		= Gems
coins                                                                 		= Coins
new_brawler                                                      		= New brawler
obtained                                                              		= Gotten
remaing_items	                                                		= Remain items
not_enough_coins_message					= You do not have enough coins \n Want to get them now?
not_enough_gems_message					= You do not have enough coins \n Want to get them now?
tickets							= Tickets
of							= of
settings							= Settings
inventory							= Brawlers
box_open							= Open
level							= Your level
EnterYourNickname						= Enter your nickname
NicknameWarn						= Nickname must be more than 2 characters
Statistics							= Statistics
Open_Total						= Total number of chests opened
Open_Free						= Free chests were opened
Open_Big							= Big chests were opened
Open_Mega						= Mega chests were opened
Open_Epic						= Epic chests were opened
NickChange						= Change your nickname
Shop							= Shop
Games							= Games
try							= Try
Normal							= Normal
Rare							= Rare
SuperRare						= Super Rare
Epic							= Epic
Mythical							= Mystical
Legendary						= Legendary
TapTap							= Tap! Tap!
