BrawlerPower               = स्ट्रेंथ पॉइंट्स
obt_bonus                  = बोनस:
brawlers                   = Brawlers
ads_get                    = प्राप्त करें
gems                       = रत्नों
coins                      = सिक्के
new_brawler                = New Brawler
obtained                   = प्राप्त हुआ
remaing_items              = आइटम बचे:
not_enough_coins_message   = आपके पास पर्याप्त सिक्के नहीं हैं \n क्या आप उन्हें अभी प्राप्त करना चाहते हैं?
not_enough_gems_message    = आपके पास पर्याप्त रत्न नहीं हैं \n क्या आप उन्हें अभी प्राप्त करना चाहते हैं?
tickets                    = Tickets
of                         = Of
settings                   = Settings
inventory                  = Brawlers
box_open                   = Open
level                      = Your Level
IF_ads                     = Try Infinity Flyer
ED_ads                     = Try Escape Danny
EnterYourNickname          = Enter your nickname
NicknameWarn               = Nick must be greater than 2 characters
Statistics                 = Statistics
Open_Total                 = Total Open Chests
Open_Free                  = Open Free Chests
Open_Big                   = Open Large Chests
Open_Mega                  = Open Mega Chests
Open_Epic                  = Open Ultra Chests
NickChange                 = Change nickname
