BrawlerPower               = Puntos de fuerza
obt_bonus                  = Prima:
brawlers                   = braverlers
ads_get                    = Recibir
gems                       = Gemas
coins                      = Monedas
new_brawler                = New Brawler
obtained                   = Recibido:
remaing_items              = Artículos restantes:
not_enough_coins_message   = Te faltan monedas \n ¿Quieres obtenerlas ahora?
not_enough_gems_message    = No tienes suficientes gemas \n ¿Quieres obtenerlas ahora?
tickets                    = Entradas
of                         = de
settings                   = Configuraciones
inventory                  = Brawlers
box_open                   = Abierto
level                      = Tu nivel
EnterYourNickname          = Ingresa tu alias
NicknameWarn               = Nick debe tener más de 2 personajes
Statistics                 = Estadísticas
Open_Total                 = Cofres abiertos totales
Open_Free                  = Abrir cofres libres
Open_Big                   = Abrir cofres grandes
Open_Mega                  = Abrir Mega Cofres
Open_Epic                  = Cofres épicos abiertos
NickChange                 = Cambiar apodo
Shop                       = Puntuación
Games                      = Juegos
try                        = Tratar
Normal                     = Normal
Rare                       = Raro
SuperRare                  = Súper raro
Epic                       = Épico
Mythical                   = Místico
Legendary                  = Legendario
TapTap                     = Empujar! Empujar!
