BrawlerPower               = Puntos de fuerza
obt_bonus                  = Bonus:
brawlers                   = Brawlers
ads_get                    = Obtener
gems                       = gemas
coins                      = monedas
new_brawler                = New Brawler
obtained                   = recibido
remaing_items              = Elementos restantes:
not_enough_coins_message   = No tienes suficientes monedas \n ¿Quieres obtenerlas ahora?
not_enough_gems_message    = No tienes suficientes gemas \n ¿Quieres obtenerlas ahora?
tickets                    = टिकट
of                         = का
settings                   = सेटिंग्स
inventory                  = Brawlers
box_open                   = खुला
level                      = अपना स्तर
IF_ads                     = कोशिश करें Infinity Flyer
ED_ads                     = कोशिश करें Escape Danny
EnterYourNickname          = अपना उपनाम दर्ज करें
NicknameWarn               = Nick 2 वर्णों से अधिक का होना चाहिए
Statistics                 = सांख्यिकी
Open_Total                 = कुल ओपन चेस्ट
Open_Free                  = मुक्त चेस्ट खोलें
Open_Big                   = बड़े चेस्ट खोलें
Open_Mega                  = मेगा चेस्ट खोलें
Open_Epic                  = अल्ट्रा चेस्ट खोलें
NickChange                 = उपनाम बदलें
