BrawlerPower               = Punti di forza
obt_bonus                  = Bonus:
brawlers                   = braverlers
ads_get                    = Ricevere
gems                       = Gems
coins                      = Monete
new_brawler                = Nuovo Bravler
obtained                   = Ricevuto
remaing_items              = Articoli rimasti:
not_enough_coins_message   = Manca monete \n Vuoi ottenerle ora?
not_enough_gems_message    = Non hai abbastanza gemme \n Vuoi ottenerle ora?
tickets                    = Biglietti
of                         = di
settings                   = impostazioni
inventory                  = Bravlers
box_open                   = Aperto
level                      = Il tuo livello
EnterYourNickname          = Inserisci il tuo soprannome
NicknameWarn               = Nick deve contenere più di 2 caratteri
Statistics                 = Statistica
Open_Total                 = Petti aperti totali
Open_Free                  = Apri forzieri gratuiti
Open_Big                   = Apri forzieri di grandi dimensioni
Open_Mega                  = Apri forzieri epici
Open_Epic                  = Apri cassapanche Ultra
NickChange                 = Cambia soprannome
Shop                       = Punto
Games                      = Giochi
try                        = Provare
Normal                     = Normale
Rare                       = Raro
SuperRare                  = Super raro
Epic                       = Epico
Mythical                   = Mistico
Legendary                  = Leggendario
TapTap                     = Spingere! Spingere!
