BrawlerPower               = Strength Points
obt_bonus                  = Bonus:
brawlers                   = Brawlers
ads_get                    = Get
gems                       = Gems
coins                      = Coins
new_brawler                = New Brawler
obtained                   = Received
remaing_items              = Items Left:
not_enough_coins_message   = You do not have enough coins \n Do you want to get them now?
not_enough_gems_message    = You don’t have enough gems \n Do you want to get them now?
tickets                    = Tickets
of                         = Of
settings                   = Settings
inventory                  = Brawlers
box_open                   = Open
level                      = Your Level
IF_ads                     = Try Infinity Flyer
ED_ads                     = Try Escape Danny
EnterYourNickname          = Enter your nickname
NicknameWarn               = Nick must be greater than 2 characters
Statistics                 = Statistics
Open_Total                 = Total Open Chests
Open_Free                  = Open Free Chests
Open_Big                   = Open Large Chests
Open_Mega                  = Open Mega Chests
Open_Epic                  = Open Ultra Chests
NickChange                 = Change Nickname
